slNo,signal_id,platform_code,datetime,pumpStatus,inletTemp,ctdTemp,longitude,latitude
47,8b01f04c-0d46-4f36-ba66-39bffaa3d351,FA,2020-03-05T00:46:55,1.0,5.31,5.949,11.4428,57.4718
48,8df0f5d4-c40c-492f-95c8-d024f57aab98,FA,2020-03-05T00:47:56,1.0,5.303,5.937,11.4391,57.4772
49,5454f277-60a7-496a-814f-147f9d263c8a,FA,2020-03-05T00:48:56,1.0,5.307,5.911,11.4354,57.4825
50,b0100c0e-f2df-4726-bd35-a572b061b834,FA,2020-03-05T00:49:56,1.0,5.27,5.897,11.4316,57.4878
51,bd4ca22d-533a-407a-9eb1-5f42b69053bc,FA,2020-03-05T00:50:56,1.0,5.271,5.89,11.4278,57.4933
52,bc356897-9ec0-4f5a-9cde-18937d65dceb,FA,2020-03-05T00:51:56,1.0,5.268,5.8870000000000005,11.4241,57.4985
53,690ad545-e3fa-452b-b84e-a85daf854acd,FA,2020-03-05T00:52:56,1.0,5.2780000000000005,5.879,11.4202,57.5039
54,1306da75-629f-445c-9909-06eef786abdd,FA,2020-03-05T00:53:56,1.0,5.269,5.865,11.4164,57.5093
55,7e8fae36-7145-4e47-9616-b4d4c45f7234,FA,2020-03-05T00:54:56,1.0,5.27,5.862,11.4128,57.5147
56,0bcfce20-787a-492c-9db7-f8f94a6ee833,FA,2020-03-05T00:55:56,1.0,5.265,5.866,11.4088,57.52
57,0d4221c4-27a5-41fb-9373-899419a84b78,FA,2020-03-05T00:56:57,1.0,4.911,5.865,11.405,57.5254
58,07801638-a315-4804-b90b-e275ea3773e3,FA,2020-03-05T00:57:57,1.0,4.926,5.869,11.4011,57.5309
59,11394cf1-81fc-4826-8658-4f67db9d3f78,FA,2020-03-05T00:58:57,1.0,4.966,5.873,11.3971,57.5363
60,af97e895-9425-493c-8f79-d91c3a4d6c11,FA,2020-03-05T00:59:57,1.0,5.012,5.649,11.393,57.5418
61,6094a151-d69c-4628-8d16-9c94efc9023f,FA,2020-03-05T01:00:57,1.0,5.031,5.599,11.3891,57.5473
62,d0d6fe7f-28e5-4ddf-a2b6-bee8399ea401,FA,2020-03-05T01:01:57,1.0,5.073,5.602,11.3853,57.5527
63,75666db7-e369-499d-96c1-162d69c2d860,FA,2020-03-05T01:02:57,1.0,4.945,5.646,11.3823,57.5584
64,768ffa3e-40ed-4245-8128-93d032eb8ff0,FA,2020-03-05T01:03:57,1.0,4.96,5.648,11.3796,57.564
65,0935dcd1-e5c0-4845-af15-b46862a06931,FA,2020-03-05T01:04:57,1.0,4.932,5.615,11.377,57.5695
66,232b2569-e792-4e9f-bb76-7e2240176b46,FA,2020-03-05T01:05:58,1.0,4.975,5.567,11.3743,57.5749
67,4f4a7c60-c715-413e-8ef4-9463684af4ad,FA,2020-03-05T01:06:58,1.0,4.98,5.587,11.3718,57.5801
68,17ba63fd-f02a-4aeb-a245-d850bb255da3,FA,2020-03-05T01:07:58,1.0,5.013,5.571,11.3693,57.5851
69,51ad4aeb-b042-4352-984d-1da3b6a31ecf,FA,2020-03-05T01:08:58,1.0,5.015,5.569,11.3669,57.5898
70,a9bf3c7c-6e35-4497-a6c6-6570fdc7ad39,FA,2020-03-05T01:09:58,1.0,5.03,5.591,11.3647,57.5943
71,ed417f0c-836b-469f-8465-d61df7e2b790,FA,2020-03-05T01:10:58,1.0,5.05,5.6,11.3626,57.5986
72,00a0d8f7-bd06-433e-9b7c-66a71169054b,FA,2020-03-05T01:11:58,1.0,5.034,5.61,11.3606,57.6028
73,2621b364-760b-4ee4-b95a-a3663f8bbfbd,FA,2020-03-05T01:12:58,1.0,5.051,5.628,11.3586,57.607
74,39775024-1106-497b-9ef9-de44b7546528,FA,2020-03-05T01:13:58,1.0,5.017,5.633,11.3566,57.6111
75,c75cac6d-44c8-4844-8637-7e280b2b2c65,FA,2020-03-05T01:14:59,1.0,4.917,5.63,11.3545,57.6152
76,1fba7036-2927-497f-82c5-ce9babb3af51,FA,2020-03-05T01:15:59,1.0,4.921,5.622,11.3525,57.6192
77,a0e55a3e-f190-4aa7-bd0e-39c1ab39863c,FA,2020-03-05T01:16:59,1.0,4.893,5.587,11.3506,57.6232
78,552ad7b8-e888-43db-9e82-46f994fba0b5,FA,2020-03-05T01:17:59,1.0,4.907,5.557,11.3486,57.6272
79,8e5989b4-7ce0-4d39-afda-5e780bf0b0b4,FA,2020-03-05T01:18:59,1.0,4.931,5.526,11.3468,57.6312
80,6ef2e15c-2c68-4e62-8998-ec65f8c01c9a,FA,2020-03-05T01:19:59,1.0,4.945,5.525,11.3448,57.6352
81,c6b4cd9d-77ec-49f4-b1e3-5c32c756949e,FA,2020-03-05T01:20:59,1.0,4.927,5.522,11.343,57.6393
82,6ed07172-4eb1-4003-a90d-c7a3a619761f,FA,2020-03-05T01:21:59,1.0,4.922,5.533,11.3411,57.6435
83,2a8b0c0b-9134-475d-8c09-04e16ede2987,FA,2020-03-05T01:22:59,1.0,4.914,5.53,11.3393,57.6478
84,379bd9a4-7926-4061-b7a9-7c6a2d863015,FA,2020-03-05T01:24:00,1.0,4.929,5.523,11.3375,57.6521
85,ccf986cc-bef9-4a84-ab96-d6bf778a6752,FA,2020-03-05T01:25:00,1.0,5.018,5.5280000000000005,11.3356,57.6565
86,bc2dcb79-4399-460d-bb5f-bbd7b7866787,FA,2020-03-05T01:26:00,1.0,4.964,5.51,11.3336,57.6609
87,e02098e6-eddd-4bc0-9277-73f0bfab5bdf,FA,2020-03-05T01:27:00,1.0,4.926,5.556,11.3316,57.6654
88,8306b988-2ee4-4f93-9ddc-1ddcce15a932,FA,2020-03-05T01:28:00,1.0,4.927,5.584,11.3294,57.67
89,89c2892e-10f6-4b7e-98da-581daa2b5dbe,FA,2020-03-05T01:29:00,1.0,4.888,5.566,11.3273,57.6746
90,8f0b47eb-83ca-44ff-96bf-43e52d792496,FA,2020-03-05T01:30:00,1.0,4.869,5.5280000000000005,11.3252,57.6794
91,30a1017f-74eb-4f0e-99b8-0006e5b7d70b,FA,2020-03-05T01:31:00,1.0,4.873,5.5120000000000005,11.3229,57.6841
92,04cf9988-426f-4008-a60d-a9d4c51a9522,FA,2020-03-05T01:32:00,1.0,4.865,5.49,11.3208,57.689
93,c11b7126-2cfb-4a9d-bcf7-7638f5230243,FA,2020-03-05T01:33:01,1.0,4.868,5.472,11.3187,57.6939
94,65742b53-e51f-4e1b-bfdc-9c19f3b15a50,FA,2020-03-05T01:34:01,1.0,4.865,5.476,11.3165,57.6988
95,8977836b-a0fc-4923-a117-db3bdb798889,FA,2020-03-05T01:35:01,1.0,4.889,5.484,11.3141,57.7037
96,ef4f2b9e-35ed-481c-8a8f-264f51420445,FA,2020-03-05T01:36:01,1.0,4.916,5.478,11.3118,57.7088
97,0ce72d08-cab7-4b4c-9c63-afc837e47ed2,FA,2020-03-05T01:37:01,1.0,4.9719999999999995,5.485,11.3097,57.7139
98,684c9249-f626-4f1e-8717-0de1cb5c4aea,FA,2020-03-05T01:38:01,1.0,5.009,5.4879999999999995,11.3075,57.719
99,265dc18d-6059-4074-957c-5ac791976b06,FA,2020-03-05T01:39:01,1.0,5.029,5.511,11.3052,57.7241
100,d2bd6a5f-c5be-4206-b6d3-09b0bd033a6a,FA,2020-03-05T01:40:01,1.0,5.057,5.549,11.3032,57.7292
101,bbd7b37e-fe46-4ac1-bd47-f7721569586b,FA,2020-03-05T01:41:01,1.0,5.036,5.571,11.3011,57.7344
102,43ec53d5-b2e2-4787-9b42-36d970abe97c,FA,2020-03-05T01:42:02,1.0,5.005,5.599,11.2989,57.7396
103,30072a67-0258-49c9-bf1a-cfd711d15b0b,FA,2020-03-05T01:43:02,1.0,5.002,5.617,11.2967,57.7449
104,e9e1962e-7176-4415-94c2-4aa1b22a6212,FA,2020-03-05T01:44:02,1.0,4.993,5.607,11.2945,57.7503
105,e9527995-3169-4366-b4cd-eb0ee8022d5e,FA,2020-03-05T01:45:02,1.0,5.066,5.611,11.2922,57.7557
106,ed360baf-72ab-4ec3-bed2-eb7500076ad4,FA,2020-03-05T01:46:02,1.0,5.019,5.602,11.2901,57.7612
107,ffcdda5e-e5e7-482d-aa2c-89df144bdf2b,FA,2020-03-05T01:47:02,1.0,4.983,5.621,11.288,57.7666
108,c4728401-c85a-4f54-8168-054bbd0d9173,FA,2020-03-05T01:48:02,1.0,4.965,5.616,11.2858,57.772
109,bd0f7a46-4ef4-41d3-bae0-ef97cf107a88,FA,2020-03-05T01:49:02,1.0,4.969,5.609,11.2834,57.7775
110,6cc1a72f-165c-4f0f-8aa8-88af206dcb75,FA,2020-03-05T01:50:02,1.0,4.916,5.5760000000000005,11.2809,57.783
111,997b1ee4-dab4-440f-a380-1c4970257283,FA,2020-03-05T01:51:02,1.0,4.954,5.574,11.2784,57.7885
112,5db60ba0-2ddf-4148-aaf3-330b6d3d1c3c,FA,2020-03-05T01:52:03,1.0,5.023,5.566,11.2759,57.7941
